               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,           0.0094033,           0.0019741,           0.0010372,             0.97564,             0.95489,             0.97687,             0.76149,            0.017647,           0.0075607,           0.0026236,            0.000736,            0.000736,            0.000736
                  90,           0.0088986,           0.0019567,          0.00098061,             0.97485,             0.95515,             0.97747,             0.76004,            0.017569,            0.007558,           0.0026101,            0.000733,            0.000733,            0.000733
                  91,           0.0087601,           0.0018947,           0.0010074,             0.97885,             0.95001,             0.97744,              0.7598,            0.017596,           0.0075648,           0.0025663,             0.00073,             0.00073,             0.00073
                  92,            0.008819,           0.0019456,            0.001001,             0.97694,             0.95406,             0.97689,             0.76028,              0.0175,           0.0075269,           0.0025668,            0.000727,            0.000727,            0.000727
                  93,           0.0088806,           0.0018905,           0.0009991,             0.97939,             0.95267,              0.9749,             0.76078,            0.017452,           0.0076087,           0.0026101,            0.000724,            0.000724,            0.000724
                  94,           0.0088901,           0.0019537,          0.00097366,              0.9793,             0.95033,             0.97491,             0.76067,            0.017455,           0.0076525,           0.0026084,            0.000721,            0.000721,            0.000721
                  95,           0.0089192,           0.0020363,          0.00099177,             0.98298,             0.94862,             0.97491,              0.7596,            0.017455,           0.0076778,           0.0025654,            0.000718,            0.000718,            0.000718
                  96,           0.0086974,            0.001903,          0.00094765,             0.98218,             0.94556,             0.97478,               0.761,            0.017454,           0.0076514,           0.0025558,            0.000715,            0.000715,            0.000715
                  97,           0.0087412,             0.00197,          0.00095466,             0.98058,              0.9481,             0.97463,             0.76106,            0.017494,           0.0076203,           0.0025464,            0.000712,            0.000712,            0.000712
                  98,           0.0087775,           0.0018664,          0.00097526,             0.97661,             0.95197,             0.97438,             0.75924,            0.017512,           0.0076292,            0.002508,            0.000709,            0.000709,            0.000709
                  99,           0.0085639,           0.0018367,          0.00091205,             0.97275,             0.95925,             0.97451,             0.76108,            0.017518,           0.0076577,           0.0025018,            0.000706,            0.000706,            0.000706
                 100,           0.0084106,           0.0017947,          0.00096788,             0.96762,             0.96048,             0.97503,             0.76015,            0.017512,           0.0076801,           0.0024778,            0.000703,            0.000703,            0.000703
                 101,           0.0084195,           0.0017952,          0.00095677,             0.97876,             0.94934,             0.97733,             0.75989,            0.017494,           0.0076835,           0.0024582,              0.0007,              0.0007,              0.0007
                 102,           0.0083179,           0.0018264,          0.00093574,             0.97953,             0.95396,             0.97985,             0.76217,            0.017487,           0.0076679,           0.0024437,            0.000697,            0.000697,            0.000697
                 103,           0.0081537,           0.0018078,          0.00091441,             0.97471,              0.9554,             0.97945,             0.76083,             0.01748,           0.0076877,           0.0024396,            0.000694,            0.000694,            0.000694
                 104,           0.0082445,           0.0017975,           0.0008978,             0.97914,              0.9526,             0.97715,             0.75963,            0.017453,           0.0076893,           0.0024481,            0.000691,            0.000691,            0.000691
                 105,           0.0082847,           0.0018623,          0.00090065,             0.98054,             0.95112,              0.9777,             0.76191,            0.017455,           0.0076929,           0.0024516,            0.000688,            0.000688,            0.000688
                 106,           0.0083103,           0.0017618,          0.00090295,             0.97666,             0.95374,             0.97921,             0.76296,            0.017481,           0.0077117,           0.0024615,            0.000685,            0.000685,            0.000685
                 107,           0.0081498,           0.0018032,          0.00091995,             0.97703,             0.95327,             0.97797,             0.76386,            0.017478,           0.0077248,           0.0024625,            0.000682,            0.000682,            0.000682
                 108,           0.0079106,           0.0017298,          0.00089275,             0.98369,             0.95247,             0.97628,              0.7608,            0.017456,           0.0077331,           0.0024311,            0.000679,            0.000679,            0.000679
                 109,           0.0081612,           0.0018041,          0.00088339,             0.98097,             0.94907,             0.97563,             0.75968,            0.017454,            0.007737,           0.0024211,            0.000676,            0.000676,            0.000676
                 110,           0.0078382,           0.0016987,          0.00087444,             0.97945,              0.9495,             0.97497,              0.7584,            0.017451,           0.0077637,           0.0024311,            0.000673,            0.000673,            0.000673
                 111,           0.0082186,           0.0017384,          0.00090405,             0.97805,              0.9504,             0.97478,             0.75715,            0.017444,           0.0077735,           0.0024603,             0.00067,             0.00067,             0.00067
                 112,            0.008014,           0.0017466,          0.00087974,             0.97885,             0.94974,             0.97456,             0.75853,            0.017448,           0.0077824,           0.0024516,            0.000667,            0.000667,            0.000667
