               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.013905,           0.0048478,           0.0021423,             0.96841,             0.95434,               0.973,             0.76764,             0.01742,           0.0060662,           0.0021142,            7.27e-05,            7.27e-05,            7.27e-05
                  93,            0.013859,           0.0045885,           0.0019688,             0.96556,             0.95847,             0.97283,             0.76347,            0.017447,           0.0060824,            0.002152,            7.24e-05,            7.24e-05,            7.24e-05
                  94,             0.01354,           0.0045644,           0.0016687,              0.9675,              0.9556,             0.97155,             0.76382,            0.017412,            0.006085,           0.0022806,            7.21e-05,            7.21e-05,            7.21e-05
                  95,            0.013741,           0.0048211,           0.0019638,             0.96287,             0.95834,             0.97128,             0.76219,            0.017473,           0.0061149,           0.0023044,            7.18e-05,            7.18e-05,            7.18e-05
                  96,             0.01385,           0.0050812,            0.002282,             0.96693,              0.9563,             0.97133,             0.76268,            0.017426,           0.0061146,           0.0022248,            7.15e-05,            7.15e-05,            7.15e-05
                  97,            0.013531,           0.0045303,           0.0014924,             0.96393,             0.95943,             0.97146,             0.76356,            0.017427,           0.0061207,           0.0022083,            7.12e-05,            7.12e-05,            7.12e-05
                  98,            0.013016,           0.0044399,           0.0015679,              0.9642,             0.95968,              0.9715,             0.76307,            0.017457,           0.0061363,           0.0022184,            7.09e-05,            7.09e-05,            7.09e-05
                  99,            0.012932,           0.0044848,           0.0016938,             0.96492,             0.95844,             0.97135,             0.76179,            0.017486,           0.0061449,           0.0022138,            7.06e-05,            7.06e-05,            7.06e-05
                 100,            0.013585,           0.0045538,           0.0016973,             0.97341,             0.95265,             0.97208,             0.76172,            0.017534,           0.0061573,           0.0022063,            7.03e-05,            7.03e-05,            7.03e-05
                 101,            0.013119,           0.0045557,           0.0018324,             0.96798,             0.96016,              0.9728,             0.76264,             0.01752,            0.006165,           0.0022024,               7e-05,               7e-05,               7e-05
                 102,            0.013097,           0.0044676,           0.0015814,             0.97142,             0.95756,             0.97357,              0.7648,            0.017505,           0.0061708,           0.0021599,            6.97e-05,            6.97e-05,            6.97e-05
                 103,            0.012874,           0.0044388,           0.0016464,             0.97321,             0.95831,             0.97338,             0.76433,            0.017484,           0.0061705,            0.002218,            6.94e-05,            6.94e-05,            6.94e-05
                 104,            0.013049,           0.0045493,           0.0016568,             0.97381,             0.95503,             0.97454,             0.76655,            0.017494,           0.0061683,           0.0021362,            6.91e-05,            6.91e-05,            6.91e-05
                 105,            0.013043,           0.0043826,           0.0016114,             0.97442,             0.95247,             0.97343,             0.76589,            0.017516,           0.0061728,           0.0021579,            6.88e-05,            6.88e-05,            6.88e-05
                 106,            0.012949,            0.004632,           0.0015186,             0.97521,             0.95415,             0.97319,              0.7641,            0.017507,           0.0061832,           0.0021986,            6.85e-05,            6.85e-05,            6.85e-05
